15:29:37.312 [DubboServerHandler-172.30.26.254:20812-thread-5] INFO  c.g.a.s.user.facade.UserProductEarningsFacade - UserProductEarningsFacade.update.userProductEarnings = [{"createTime":1479974476000,"id":1,"investAmount":12500.00,"lid":2,"pid":2,"proearn":227.70,"realearn":0.00,"uid":2,"updateTime":1480058976168,"uuid":"9839ca0e122d489997d901cc5ae0a90c","version":3}]
15:29:37.312 [DubboServerHandler-172.30.26.254:20812-thread-5] INFO  c.g.a.s.user.facade.UserProductEarningsFacade - UserProductEarningsFacade.update.userProductEarnings = [{"createTime":1479974476000,"id":1,"investAmount":12500.00,"lid":2,"pid":2,"proearn":227.70,"realearn":0.00,"uid":2,"updateTime":1480058976168,"uuid":"9839ca0e122d489997d901cc5ae0a90c","version":3}]
17:38:58.056 [main] INFO  o.s.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@1209fa55: startup date [Fri Nov 25 17:38:58 CST 2016]; root of context hierarchy
17:38:58.130 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-context.xml]
17:38:58.426 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dataSource.xml]
17:38:58.771 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dubbo-provider.xml]
17:38:58.919 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dubbo-consumer.xml]
17:38:59.107 [main] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [public_system.properties]
17:38:59.111 [main] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [config.properties]
17:38:59.113 [main] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [db.properties]
17:38:59.643 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
17:39:01.465 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:zookeeper.version=3.4.5-1392090, built on 09/30/2012 17:52 GMT
