09:32:09.610 [main] INFO  org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=192.168.2.249:12181 sessionTimeout=60000 watcher=org.I0Itec.zkclient.ZkClient@904bbee
09:32:09.631 [main-SendThread(192.168.2.249:12181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 192.168.2.249/192.168.2.249:12181. Will not attempt to authenticate using SASL (unknown error)
09:32:09.633 [main-SendThread(192.168.2.249:12181)] INFO  org.apache.zookeeper.ClientCnxn - Socket connection established to 192.168.2.249/192.168.2.249:12181, initiating session
09:32:09.640 [main-SendThread(192.168.2.249:12181)] INFO  org.apache.zookeeper.ClientCnxn - Session establishment complete on server 192.168.2.249/192.168.2.249:12181, sessionid = 0x1584cbb799a0985, negotiated timeout = 40000
09:32:10.379 [main] INFO  com.guwr.accumulate.service.user.DubboProvider - accumulate-service-user
09:32:10.379 [main] INFO  com.guwr.accumulate.service.user.DubboProvider - accumulate-service-user
09:32:10.379 [main] INFO  com.guwr.accumulate.service.user.DubboProvider - context = org.springframework.context.support.ClassPathXmlApplicationContext@1209fa55: startup date [Mon Nov 28 09:32:06 CST 2016]; root of context hierarchy
09:32:10.379 [main] INFO  com.guwr.accumulate.service.user.DubboProvider - context = org.springframework.context.support.ClassPathXmlApplicationContext@1209fa55: startup date [Mon Nov 28 09:32:06 CST 2016]; root of context hierarchy
09:32:34.648 [DubboServerHandler-172.30.26.254:20812-thread-2] INFO  c.g.accumulate.service.user.facade.UserInfoFacade - UserInfoFacade.findOne
09:32:34.648 [DubboServerHandler-172.30.26.254:20812-thread-2] INFO  c.g.accumulate.service.user.facade.UserInfoFacade - UserInfoFacade.findOne
09:32:34.648 [DubboServerHandler-172.30.26.254:20812-thread-2] INFO  c.g.accumulate.service.user.facade.UserInfoFacade - id = 2
09:32:34.648 [DubboServerHandler-172.30.26.254:20812-thread-2] INFO  c.g.accumulate.service.user.facade.UserInfoFacade - id = 2
09:32:35.363 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.service.user.facade.UserProductLevelFacade - UserProductLevelFacade.findUserProductLevelByIn.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"pid":null,"sortType":"desc","uid":2,"uuid":null}]
09:32:35.363 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.service.user.facade.UserProductLevelFacade - UserProductLevelFacade.findUserProductLevelByIn.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"pid":null,"sortType":"desc","uid":2,"uuid":null}]
09:32:35.363 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductLevelService - UserProductLevelService.findUserProductLevelByIn.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"pid":null,"sortType":"desc","uid":2,"uuid":null}]
09:32:35.363 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductLevelService - UserProductLevelService.findUserProductLevelByIn.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"pid":null,"sortType":"desc","uid":2,"uuid":null}]
09:32:35.367 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductInvestService - UserProductInvestService.changeInInvest.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"sortType":"desc","uid":2,"uuid":null}]
09:32:35.367 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductInvestService - UserProductInvestService.changeInInvest.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"sortType":"desc","uid":2,"uuid":null}]
09:32:35.499 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductInvestService - UserProductInvestService.changeInInvest.userProductInvest = {"createTime":1479811206000,"id":4,"totalInvest":162645.00,"uid":2,"updateTime":1480164890000,"userType":0,"version":347}
09:32:35.499 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductInvestService - UserProductInvestService.changeInInvest.userProductInvest = {"createTime":1479811206000,"id":4,"totalInvest":162645.00,"uid":2,"updateTime":1480164890000,"userType":0,"version":347}
09:32:35.551 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.s.impl.UserProductInvestLogService - UserProductInvestLogService.save.entity = [{"afterTotalInvest":162745.00,"beforTotalInvest":162645.00,"createTime":1480296755367,"id":null,"investMoney":100,"investType":2,"pid":4,"updateTime":1480296755367,"uuid":"9a29390c4ff0440e8cc688ae93ce51d1"}]
09:32:35.551 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.s.impl.UserProductInvestLogService - UserProductInvestLogService.save.entity = [{"afterTotalInvest":162745.00,"beforTotalInvest":162645.00,"createTime":1480296755367,"id":null,"investMoney":100,"investType":2,"pid":4,"updateTime":1480296755367,"uuid":"9a29390c4ff0440e8cc688ae93ce51d1"}]
09:32:35.682 [DubboServerHandler-172.30.26.254:20812-thread-4] INFO  c.g.a.s.user.facade.UserProductEarningsFacade - UserProductEarningsFacade.findOneByUidPidLid.uid = [2], pid = [2], lid = [2]
09:32:35.682 [DubboServerHandler-172.30.26.254:20812-thread-4] INFO  c.g.a.s.user.facade.UserProductEarningsFacade - UserProductEarningsFacade.findOneByUidPidLid.uid = [2], pid = [2], lid = [2]
